ax,ay,az
0.0,0.0,0.0
0.02278357,0.0016510971,0.011720749
0.060575347,0.0049634413,0.036360968
0.15910813,0.015574327,0.09663748
0.21729511,0.027159506,0.11276336
0.33215863,0.0397702,0.18466377
0.40729886,0.053296823,0.22721264
0.47582564,0.06590441,0.25426343
0.563216,0.10241047,0.34829265
0.54824513,0.16199265,0.30642796
0.5652502,0.18416387,0.3245981
0.5236539,0.2276469,0.40048397
0.5354466,0.3036751,0.17989574
0.3432411,0.30293345,-0.023476215
0.35791358,0.3442537,0.44095805
0.093990736,0.33185717,0.3531617
-0.0011103796,0.3640745,0.07741391
-0.22980238,0.5136128,0.016143577
-0.38443434,0.50919175,-0.19415005
-0.5861372,0.39766112,-0.13068415
-0.8373355,0.3413585,-0.16864647
-0.99495476,0.40790278,-0.72712374
-1.2896051,0.47247943,-0.7245471
-1.6405971,0.35846773,-0.88099605
-1.7948259,0.16308312,-1.1814475
-1.9715223,0.15285297,-1.3442802
-2.4897902,0.24092773,-1.6075389
-2.909907,0.31300768,-1.4688164
-3.1490586,0.21892312,-2.2454507
-3.4404354,0.004101917,-2.9589925
-3.84387,0.31349388,-2.5732481
-4.556042,0.29740196,-2.0566602
-5.336099,0.11844152,-2.328091
-5.6132827,0.26743877,-2.8151355
-5.8257003,-0.10977986,-3.1016288
-6.266384,-0.2561192,-4.6424713
-6.2173805,-0.3164139,-4.371246
-6.2018666,-0.4734351,-2.5737612
-6.98151,-0.53451765,-2.4401565
-7.2094646,-1.0461075,-3.116774
-7.96645,-1.1404301,-4.159604
-7.777847,-1.3304543,-3.3451312
-7.0155406,-1.9262894,-3.8859332
-8.495755,-2.0687943,-4.4950914
-7.699744,-2.1919386,-2.9400089
-7.061699,-2.1666157,-4.979306
-8.009087,-2.0439668,-5.929415
-7.3948703,-1.9906224,-5.3909335
-7.2440705,-2.229576,-5.2827606
-6.9866524,-2.663201,-4.1664286
-7.287755,-2.1633506,-3.7835143
-7.4856434,-1.6220478,-3.0994904
-6.3587427,-2.4050014,-3.833438
-6.7483215,-2.553846,-6.501739
-6.880374,-1.8943852,-7.1611657
-5.6419444,-2.268244,-6.3794794
-5.5727363,-2.2266896,-8.951242
-6.243535,-2.3660252,-6.027073
-6.3735375,-2.717617,-1.3394743
-6.5226345,-1.2816924,-6.4795256
-6.926574,-0.72401476,-4.517659
-7.369006,-1.1250701,-1.9687964
-7.194514,-1.1058393,-9.417173
-5.876569,-1.3803756,-7.1543427
-7.380704,-1.7359445,-4.196503
-9.648762,-2.0257635,-6.188664
-8.266508,-1.3791984,-5.1791625
-7.5439224,-0.6621798,-7.487272
-8.53081,-0.08219019,-2.4554696
-8.98594,-0.4128238,-0.58821815
-8.998926,0.07867343,-6.1095576
