ax,ay,az
-50.57709,130.73787,16.721497
-122.16175,177.64174,-14.9990425
-186.402,214.06715,-46.29977
-225.30392,215.53996,-68.54309
-232.3789,163.73376,-78.70817
-213.73148,60.45492,-80.86775
-180.81866,-68.44108,-82.00998
-140.89134,-183.88869,-85.75078
-92.85359,-252.22163,-89.52632
-32.69836,-257.77,-88.20394
34.95915,-202.57654,-80.91446
90.20738,-100.20783,-73.72032
106.47134,25.772633,-73.98652
72.19902,140.04178,-81.2728
7.508387,202.79909,-84.754524
-43.346607,190.48187,-71.565735
-42.595867,114.45698,-38.954014
12.191188,16.866623,1.7112074
87.0292,-56.89966,33.440216
138.92393,-85.557396,46.87807
146.45036,-76.566246,46.444054
118.44914,-50.047775,44.756958
79.49296,-21.998337,51.233944
50.347298,0.6335623,64.66603
38.840977,18.185223,74.96108
41.43235,37.973083,71.66443
48.564953,72.29257,52.55863
50.999203,128.20099,26.549395
46.972187,195.12595,9.114942
45.577103,245.52919,12.85596
60.143723,252.40681,38.393272
94.42755,207.89587,71.35733
134.48347,125.68401,88.797455
155.544,28.459196,72.81641
138.3589,-64.426895,23.209808
80.90285,-140.64081,-40.26078
-1.7251934,-194.916,-88.61404
-84.7843,-230.26662,-100.12211
-142.19551,-255.523,-71.23787
-154.81087,-275.2615,-16.265266
-119.41594,-281.2667,41.38329
-53.968376,-258.43002,80.31234
7.9044256,-201.81946,90.61856
33.462143,-125.78363,78.610855
9.443344,-54.014957,62.646744
-48.788074,-2.5390043,59.37414
-103.78411,25.324135,69.07738
-116.475365,30.867392,73.834595
-70.60551,14.502868,52.820835
14.65195,-18.729431,2.2151666
95.78659,-53.115273,-58.508118
134.3483,-67.98419,-99.26886
121.506615,-50.410957,-99.24975
77.366425,-0.5505161,-58.653595
29.219439,72.784164,2.7322836
-7.0494995,154.66531,55.7769
-26.585663,219.63705,75.6391
-26.161572,232.74359,54.49071
-4.9334283,168.1495,6.702848
24.510262,35.002434,-39.790524
34.73471,-115.82541,-62.57376
2.9451814,-216.75279,-59.593666
-65.383965,-223.31993,-46.983192
-135.6216,-138.97182,-42.93965
-169.59534,-9.479225,-53.420723
-152.6961,105.14679,-71.09123
-97.725235,162.19846,-84.35955
-27.76935,154.90436,-85.79879
39.778557,110.39071,-74.38949
94.42665,70.096855,-53.79823
126.63196,66.214645,-30.043398
128.41359,109.25012,-9.062932
101.07816,190.06635,5.504762
58.70904,286.6083,12.445085
20.90763,367.34,10.8614435
1.568189,396.86835,-0.4796872
4.332042,352.31577,-19.578016
26.23282,242.67587,-37.037975
62.034412,109.143654,-38.236546
103.92804,-2.6221218,-12.680045
140.0472,-76.41881,37.6074
158.11021,-132.2128,99.13883
153.47673,-198.21185,156.3098
133.21426,-276.78897,199.70026
109.879326,-337.87134,226.68797
89.40091,-343.52728,237.01039
64.929695,-278.10538,230.20901
23.810038,-159.31741,207.29109
-38.000248,-28.190693,172.77466
-107.68045,69.4908,133.22374
-161.83351,101.18337,93.12413
-182.1925,62.32915,51.953026
-167.03214,-18.09659,5.012049
-129.08578,-90.59746,-52.151585
-83.87875,-115.34713,-117.85832
-41.19969,-89.82159,-180.72878
-7.903751,-50.668255,-222.69284
3.649402,-46.6101,-228.90672
-24.042616,-103.75692,-197.65422
-97.83128,-209.20653,-141.04155
-195.17126,-321.23715,-75.71292
-265.15897,-394.5673,-13.960803
-258.21255,-403.51108,35.24693
-164.57603,-352.0969,59.7816
-27.524328,-267.88168,46.09795
83.94937,-182.39383,-7.34968
121.6114,-108.66562,-80.29927
84.96956,-31.756569,-141.12376
10.335347,77.480675,-171.99625
-60.701694,232.29233,-183.04263
-102.693474,405.3988,-198.2372
-106.49176,530.22675,-225.83032
-72.24102,531.5105,-243.72192
-10.32424,369.9921,-215.67946
