ax,ay,az
-0.0,0.0,-0.0
-0.00017042278,0.00094404153,-0.00060893653
0.00021788546,0.0031861214,-0.0015343829
-0.0014055106,0.009334029,0.0029865962
0.003442466,0.01034713,0.0010067387
0.013231698,0.007975898,-0.0019402748
0.0056217453,0.015877347,-0.0011237642
0.009119982,0.034755837,0.012651382
-0.007206878,0.043841247,0.044490263
0.010959468,0.05858587,-0.00054774206
0.009290562,0.05767455,0.011685769
-0.0034280405,0.061885413,0.039390378
0.035209633,0.113456294,0.030120317
0.033451173,0.036234457,0.016849307
0.12128706,-0.031597737,-0.026423544
0.10481684,0.027943043,-0.012267703
0.04996123,-0.048703134,-0.026518181
0.06981328,-0.11513998,0.10219405
0.104330815,0.050880942,0.18282616
0.14211188,0.31163314,0.21204612
-0.025347091,0.18740653,0.20033127
-0.03594616,0.08259833,0.013015534
0.052993458,0.26570413,0.13305627
0.018573593,0.10067117,0.01297268
0.2221299,-0.25974423,-0.32062703
0.3880567,-0.47726187,-0.19660552
0.46936733,0.19645546,-0.27750424
0.21224187,0.28210115,-0.3594673
0.06732153,-0.4598343,-0.28870326
0.22570887,-0.4130067,-0.26845643
-0.5876849,-0.39482522,-0.047605142
-0.81208295,-0.2975329,-0.028587593
-0.8610449,-0.3811233,0.36300567
-0.9507443,-0.21351613,0.7422383
-0.53937024,0.1420818,0.06209734
-0.8107375,-0.6647412,-0.43210194
0.117143735,-0.6230652,0.117658526
-0.091387376,-0.72416514,0.22332123
-0.87622195,-1.1977808,-0.13484193
-0.2723165,-0.352527,0.10271386
-1.0321405,-0.12820396,-0.057100438
-1.4657049,-0.46805963,0.41032928
-1.1887332,-0.5523424,0.13312
-0.98386604,-0.36364648,-0.24138185
-0.6928356,-0.33999467,0.21558274
-0.010179245,0.08069265,-0.7703901
0.13927706,-0.19418125,-0.47825992
0.18966578,-0.64324135,0.29252496
0.7635265,-0.31794822,0.99558145
0.72993696,-1.3014005,1.080626
1.3001286,-1.2582498,0.84282726
0.29831553,-0.95054984,1.1426072
0.38823518,-1.351652,1.4030225
1.7255968,-1.2060956,1.5479015
0.2750915,-0.9987882,-0.32080847
-0.966906,-2.6217158,0.25176403
-0.81042635,-2.7018447,1.6026081
-0.071431234,0.18160504,0.24185838
-1.7224939,-1.5379997,-0.567425
-2.7364302,-1.2837042,-0.10334764
-1.9824421,-0.5113313,0.37137106
-2.2439272,-1.9045429,-0.87350476
-0.94399613,-0.44310126,-0.47825116
-1.2003586,-1.7856857,0.5118404
-1.2441416,-1.7398733,-2.064691
-1.488458,-1.968249,-4.4545817
-2.4592671,-3.575245,-4.502761
-0.7883027,-3.0155346,-3.0787554
-1.200936,-2.9202375,-3.9076655
-1.1172786,-0.83085126,-4.826102
0.5934149,1.3879145,-2.2812262
-0.6868239,1.485107,-2.386734
1.2952386,-0.0006862569,-2.8528337
3.6996253,1.3474882,0.8485713
0.7732485,1.8954563,2.1576295
2.1139405,-0.1814043,3.0299435
1.4559686,2.4635742,5.9343495
-0.46176857,1.7392297,5.620262
1.4564941,0.6681479,4.7245073
-0.9901394,2.4057677,3.5064232
-1.1364305,2.4514241,3.2834682
1.1257453,2.3307283,3.5160196
2.398892,1.3286955,1.0584939
3.3886645,2.323681,-0.46767327
2.0478866,1.2038659,-0.96911544
0.81287944,-1.1291984,-1.6262225
0.61114585,-1.3677373,-3.5165975
2.6778219,-0.5201519,-4.1076503
2.827245,-0.7720452,-1.803981
0.36153132,-3.005146,-1.4700718
-1.1727326,-0.23818478,-1.1109486
-2.1562667,2.6010628,-0.6270101
-0.7154738,3.241176,1.6460501
-0.25439072,1.6551359,2.91092
-0.4874079,-1.4318302,-3.1642528
0.94401187,-0.38129646,-0.5856894
1.2109134,-2.408702,2.2573516
0.41317627,-3.2456734,-2.3005922
0.9015911,-2.5908294,-1.5961875
0.08696352,-4.358285,-2.907664
0.51419544,-3.7411265,0.89165777
1.0284852,-3.406007,3.0537698
-0.6340176,-2.398297,-0.7274825
-0.075043686,-0.57228076,-0.7427517
-1.4817386,1.1146797,-0.7055037
-0.52605224,-3.3187275,0.5920609
-1.3257034,-5.949967,-2.0597389
-2.7431512,-1.2350137,-0.50781024
-0.0038658762,-0.9350961,2.7743125
0.4054545,3.0374331,0.31083173
0.8781192,6.16216,-0.88576144
-1.9410936,3.026198,-4.6429725
-0.7955623,2.1476455,-5.3347507
1.0681562,2.6817112,-0.7533257
-0.24575426,1.0142453,0.77848417
-1.1994567,-0.038643893,-6.9035773
-2.5363965,0.9435881,-5.9931874
2.1926785,-0.87943584,0.38194203
7.06109,-2.2829165,-2.1217668
8.291333,-1.56232,1.7759659
5.2154846,-0.08608011,-0.97524536
5.4681864,-2.6814697,-2.452011
2.0955544,-2.8813896,1.4465154
-0.25842065,3.131442,0.3376494
2.9313283,1.1017193,-0.25395894
1.9435136,-1.4628922,-1.2827214
5.1424046,-0.7126238,1.8346485
1.2796998,-4.4649773,-0.6298517
1.3474017,1.3929093,-0.79310447
2.2874124,2.3776631,2.85255
-2.7925699,-2.410334,1.0925534
0.5295251,1.2770345,-0.123453006
0.070576526,-1.3785368,-1.5370649
-2.975776,-0.31892708,0.32197934
-5.3440685,2.8061774,0.2566406
-1.2552379,4.531808,0.93971556
-0.053352922,2.7612202,3.7963493
-4.2217402,1.0779697,0.18542053
1.1157243,2.5019257,-0.8642568
1.897755,0.68378085,0.8981566
3.9128318,7.2684913,2.0891533
4.0916963,6.1816154,4.362809
4.4720383,7.1543493,1.8119086
10.077832,14.809184,2.1155062
6.0308,6.833866,5.7905345
2.5116038,3.1977558,1.3507813
0.9979374,2.902741,-1.1568669
2.8949518,-2.9970958,4.4580846
5.2683244,-6.1716695,3.8825908
3.5344431,-8.145191,-0.49263564
0.6922265,-7.4023128,4.378872
0.9868343,-6.610097,4.3215117
-0.1767128,-4.5422115,-2.8431802
-3.931854,-0.14893168,-4.618136
-3.0023372,0.68166405,-6.8186517
-8.733408,-1.3019469,-3.2826877
-8.743982,-0.6170094,0.91514945
-6.4800186,1.7053245,1.2585781
-5.855679,1.1124585,1.0513198
0.19113241,-0.8835348,-5.282067
-1.841534,-1.7683542,-5.7389884
-1.5137097,-3.8709233,-5.1352725
0.24185312,-1.2913237,-4.1754107
-1.8137661,2.5598204,0.8313896
-0.43650362,-2.186399,1.0403188
5.75674,3.117935,4.641043
8.511764,6.639932,7.69103
8.517768,1.1196333,4.0232077
10.389625,4.388227,3.173047
5.3329115,6.090879,5.6355495
4.6092205,8.09785,3.4717855
8.249166,7.685012,0.12591082
5.3536735,5.842636,-1.0681047
6.516125,4.7346735,-0.37530074
5.5488286,-0.90641016,1.6417533
0.7209218,-0.7886154,-2.114256
-0.12138649,-0.5940894,-3.8234177
-3.9587846,-3.9286928,-2.9352853
-4.964095,-0.7685679,-5.4863644
-6.252746,0.07143571,-4.8627143
-7.6350503,-0.69489896,0.9647554
-5.970868,2.3189375,0.8293594
-6.507632,3.321972,-0.25730744
-3.2882226,5.335269,2.2202575
-5.510828,5.7820635,0.44415423
-4.1005697,6.0721703,0.5894243
1.3126911,3.5192108,-0.22254892
-0.8123597,1.7653414,2.431896
4.1169367,0.25209954,0.9219166
3.9592998,-1.6687454,-3.4010336
2.0581186,1.1802812,-1.0045277
0.653497,-2.286298,-6.0487504
-8.473358,-1.2275525,-3.4090912
