ax,ay,az
0.0,-0.0,-0.0
0.0005046926,-0.01256389,-0.005862883
-0.0002294434,-0.034718473,-0.016305229
-0.0021975685,-0.08841153,-0.040891815
0.0010043365,-0.12081364,-0.052479338
-0.006865937,-0.17979157,-0.084102735
-0.024441225,-0.21150286,-0.12792176
-0.024441713,-0.24211837,-0.1658519
-0.05580034,-0.25978976,-0.18520737
-0.06497037,-0.27528092,-0.18039308
-0.08571971,-0.3205019,-0.19712715
-0.097715445,-0.24211355,-0.20757256
-0.1919141,-0.25717208,-0.20626609
-0.30577448,-0.09969414,-0.15377456
-0.23512201,-0.1086343,-0.25008458
-0.4322431,-0.019665396,-0.13885419
-0.550906,0.17313072,-0.13102336
-0.4641964,0.2844719,-0.14973846
-0.44523126,0.5070569,-0.093613304
-0.2875146,0.7323901,-0.16517487
-0.36070883,1.0034109,-0.06725278
-0.3949459,1.3401682,-0.22672051
0.012833816,1.3220446,-0.23647757
0.1525743,1.8108929,-0.01291826
0.1547849,2.1109278,0.09006195
0.22746137,2.135144,0.20984827
0.1284512,2.5655506,0.03772366
0.08465867,2.6348968,0.23014179
0.06347341,2.6865675,0.15254
0.020719904,2.6692085,0.05494491
-0.1555692,2.591235,0.69488394
-0.1829955,2.69414,0.29064095
-0.37272757,2.7445655,0.4384527
-0.49873775,2.715147,0.9479336
-0.15670404,3.0061512,0.27930838
-0.9241025,3.0885828,0.8039775
-0.8210219,3.7768705,1.1274794
-0.054567646,4.3605685,0.8230565
-0.6404673,4.0914736,1.1175873
-0.30860388,4.4169846,0.98468167
0.11505205,4.4523296,0.73721987
0.41046712,4.229942,0.83395296
0.5780803,4.168303,1.548288
1.0425231,4.558149,1.292937
1.5595043,4.355773,0.6574245
1.137006,4.4389772,1.3087121
2.353548,4.9181943,1.1105045
2.393581,5.018108,1.5533527
1.5682456,4.8682146,2.4166276
0.91034555,5.3335624,1.0132202
0.7815388,5.8788404,0.8638366
0.88690567,4.608729,1.455669
-1.1891567,4.9356585,1.2162362
-1.5688049,3.9082248,1.9992434
-2.4482899,4.172957,2.3322685
-2.9257479,4.403036,1.5049214
-1.9953704,3.5302763,1.1904093
-1.1539881,4.6690316,2.072863
0.082609445,2.289898,1.666174
0.66618705,3.4226656,1.193656
2.2059531,3.977236,1.705172
2.2740514,3.5616446,1.2269437
0.86758864,3.903658,0.25511962
0.51559466,1.062653,0.78205127
0.43386376,1.3927753,2.5295613
0.16446224,0.43301225,1.2283382
0.032051835,0.0906127,-0.14236641
-0.8100567,-0.31314927,0.7307552
-1.8686726,-1.9565283,1.4090651
-3.336989,-0.8022137,1.5045985
-3.8373165,-1.8323241,1.5519539
-4.3814387,-3.6862526,3.4310176
-6.0903144,-2.9818003,1.9549752
-4.274333,-1.9844108,-1.7234628
-4.5714107,-2.8068004,-0.19163911
-6.560856,-3.2528498,3.1722848
-4.333098,-3.0046823,5.0538983
-3.9964755,-1.2456288,3.2741098
-4.35537,-0.79139715,2.009758
-2.3832514,-4.3970256,3.303756
-4.1218963,-2.2622228,3.6330435
-4.5538235,1.8274738,4.9772987
-2.2651808,-0.8155092,2.1038473
-2.0283616,-1.0306019,-0.11455472
