ax,ay,az
-0.0,-0.0,0.0
-0.12642543,-0.004391003,0.5478105
-0.29838526,-0.02701686,1.3741319
-0.7898313,0.009442399,3.5219347
-1.1126566,0.15899473,4.4641924
-1.818866,0.3089202,6.83478
-2.0322723,0.47445643,7.87341
-1.9660296,0.6073601,8.801175
-2.2856266,0.57209253,9.404028
-1.4185176,1.3570365,8.161225
-1.2336053,1.4244668,8.4811325
0.050775126,0.22916858,4.417929
0.4685512,1.0304004,3.1049597
1.0905277,1.8418049,-3.4929645
1.244707,2.6873806,-6.519325
2.326409,4.877632,-15.205623
5.147437,6.2005787,-20.80631
6.89287,8.678279,-29.288788
6.5202274,10.29287,-37.7714
9.234109,6.640994,-48.325653
15.533398,6.349443,-56.503437
16.95451,6.392329,-66.73616
19.749567,3.5751433,-78.20657
25.357903,3.5949392,-90.30358
27.564299,3.8657973,-108.17067
31.497347,9.041402,-119.00724
34.359093,14.455169,-123.79017
38.625336,10.785268,-130.13875
42.62987,-1.273249,-142.21988
48.762608,-1.5848683,-150.65485
53.81569,2.107797,-160.56355
57.460117,-1.3287838,-176.82503
58.40134,2.8538797,-190.89708
58.20786,6.8140244,-203.78156
62.334072,7.2440243,-212.32126
68.970184,9.532172,-215.15164
69.90347,9.248992,-221.86938
75.44915,5.8180494,-232.78844
82.76725,9.484822,-239.45625
68.346985,3.1327355,-237.19447
81.08043,-2.2003334,-241.22548
89.572784,1.7264038,-255.16072
91.573975,7.798156,-258.7437
96.67563,13.423774,-259.99234
88.31982,18.790443,-261.06
108.83201,20.439447,-265.56616
96.64527,19.844666,-262.84155
79.247856,35.67532,-247.76067
75.76525,8.412003,-241.79353
71.58705,0.85755706,-231.35915
76.43436,23.196636,-225.2362
74.230865,14.713531,-220.89188
94.52098,26.515762,-216.67198
92.809296,35.895638,-211.94566
79.15971,25.085443,-201.77089
97.03446,12.293772,-198.03961
98.05954,20.603659,-195.64392
72.55121,15.940962,-179.13936
78.521454,24.065529,-153.28975
67.294876,31.168932,-151.65924
45.44177,9.852933,-141.06448
76.789955,8.668192,-120.55827
72.28455,-1.3537291,-107.68947
49.58896,-29.056843,-102.51666
38.08109,0.41073173,-117.354996
13.134671,73.331955,-99.73639
-11.6367855,56.638027,-45.71467
-26.338968,48.67169,-15.653677
-7.409235,38.06599,-21.319828
-11.224223,1.5722815,-18.144531
-16.957785,9.945959,-3.3724928
-15.825459,16.436045,13.075068
-65.76816,40.37577,26.287254
-85.09528,40.593117,35.44224
-62.426388,25.02027,61.697178
-37.389454,-1.1626724,71.91429
-46.634407,-7.144372,71.16005
-99.8641,-3.2504175,59.325615
-134.06894,14.457603,70.073746
-147.33507,27.102896,130.48088
-166.94002,-27.094297,139.5502
-169.89818,-61.936676,134.45413
-143.52766,-63.5392,146.73373
-168.34778,-61.710476,148.3333
-180.60735,-79.23429,141.19258
-189.24336,-49.713875,124.27203
-245.93048,35.595676,149.92421
-265.57254,41.3793,185.20245
-247.60027,-25.150614,195.73083
-230.50012,-20.215511,187.82391
-248.79985,-16.56471,211.30374
-238.6901,-32.736168,216.65085
-271.56686,-2.6038616,177.20631
-311.70605,-29.222187,204.83229
-299.92365,-56.51619,190.77316
-351.67917,-67.365524,139.6549
