ax,ay,az
0.0,0.0,-0.0
3.580401e-05,0.00035299076,-0.00014483703
-2.886519e-05,3.8302853e-05,0.00028602988
0.005606,0.0010602736,0.0017941372
0.012543613,-0.00463848,-0.0011492079
0.0054976186,-0.0014710072,-0.002254675
0.011439508,0.016546931,-0.0017387974
0.019826988,0.0032705707,-0.016247854
-0.010276197,0.0013964371,-0.01871246
-0.014203186,-0.0031721205,-0.03469974
0.0028119737,0.015314875,-0.030405303
-0.023407137,-0.005508504,0.014743857
-0.057570037,-0.03176399,-0.019111559
-0.039721534,0.03107168,-0.038707837
-0.02517803,0.017068412,-0.022699108
0.014401929,-0.0120151695,0.03871938
-0.0117122205,-0.03473608,0.004916193
-0.07526415,-0.047783673,-0.098059036
-0.08428108,-0.09429323,0.007930753
-0.14683214,-0.100574866,-0.118978575
-0.17330538,0.07217822,-0.009478538
-0.12248851,-0.041981675,0.057125732
-0.1522515,-0.062285133,-0.04908199
-0.13912116,0.1456971,0.05207655
0.10397958,-0.28881875,0.0719426
-0.053328577,-0.019589597,0.28547654
0.1465877,0.24445818,-0.07765691
0.23114237,-0.16261697,-0.033784043
-0.18842375,0.2553567,-0.14151584
0.17606236,-0.01063024,-0.4497537
0.17314337,0.116678745,-0.18429545
0.1413325,0.32211676,-0.036415473
0.018347392,-0.048560638,0.23743469
-0.37986496,0.30382705,0.06170263
0.004064126,0.14950222,0.17739068
-0.025242848,0.21485807,0.23268864
-0.029644107,0.07300235,0.075102136
0.11613535,-0.21783197,0.30940288
0.34404916,-0.6992203,0.39426735
0.5764401,-1.2559394,-0.27751568
-0.013626024,-0.5481272,-0.2425328
0.07146666,-0.25807366,0.22568068
-0.6501804,-0.16434701,0.04428536
-0.96535254,0.11427588,0.18436275
-0.15994106,0.53299993,-0.19970052
-0.5096034,0.90574616,0.20308201
-0.41876373,0.42207482,0.18532468
-0.23560157,-0.18661429,-0.21377482
0.20551154,0.009561432,0.6546597
0.15695816,0.4756509,0.8355789
0.13782936,0.32433805,0.4652141
-0.9842227,-0.020207638,-0.536281
-1.1434565,-0.65192795,-0.11493946
-0.3545153,-0.23658879,0.3835497
-1.3058105,-0.19490469,-0.009994141
0.811751,-1.1806533,0.51209754
0.32577178,-1.172825,1.1000385
-0.5424049,-0.08032256,0.9218151
0.48851046,0.57948136,-0.8492653
1.0571383,-0.41089603,-0.26531214
2.08287,-0.5945203,0.06942462
0.6933735,0.4514657,-1.069603
0.03835051,0.094489165,0.056615457
0.19458985,-0.61149967,0.0065457127
-0.7982495,-0.6737657,-0.01920568
-1.6699555,0.038899314,0.08334692
0.6222919,1.8746824,-0.97066903
0.9572139,1.277538,0.73288274
0.8501986,0.7541561,1.0925022
0.0058643008,1.0807163,0.30648845
-0.7083908,0.7119206,1.5264868
2.110312,0.88179106,0.6470569
0.22792198,-0.05850589,0.663217
0.4417069,-1.3893697,0.6758358
0.49744365,-1.232145,-0.63879734
-0.56526464,0.38509506,-0.54633236
1.0781909,-0.18492873,1.8036147
0.7534475,0.4602453,3.130481
0.86013466,1.4065847,0.2517152
1.9684803,0.5653704,-0.70097566
1.132507,0.6134733,0.84499323
-1.2203689,0.0331293,1.1039894
-0.60284853,0.78609705,-0.12064226
-1.2706949,-0.6050266,0.06460294
0.4743704,-2.1769128,1.8045585
1.9658985,-0.0079189,-0.39294815
-0.30152446,0.18326546,-1.6495696
-0.8157993,-1.4949505,0.7996846
0.008465975,-1.8111374,-1.2493671
2.076962,-0.41162565,-1.634354
1.1135502,-0.10263563,0.94895095
1.412783,-0.85150826,0.75332993
0.14574455,0.7626829,-1.8609335
-0.4508086,-0.7002786,-3.9770129
1.1880347,0.05024575,-0.6436279
0.46915793,0.43713114,0.86694777
-1.3638631,-1.1887825,-1.3731827
-3.639994,1.1939459,-0.49085554
-3.0023189,-0.8776304,2.51499
-2.4219158,-0.28891507,-0.072312556
-0.19709562,-0.90124243,-1.1427735
-1.3151541,0.44904637,1.5898416
1.0133764,1.7970341,-0.2857631
1.1618706,-1.9096975,0.122153185
-4.931248,1.8013796,-1.205642
1.1481042,0.24517588,-1.7738664
2.1914468,0.16340831,-0.39195234
1.5217282,3.0714576,-0.68261766
3.3709698,4.5613627,0.2946431
-1.5487325,2.7327805,-2.254676
0.14002608,-0.17084242,-4.462624
0.6870523,3.6686146,-2.5649009
-0.6352428,-2.2950428,2.0121596
2.3419862,-1.71181,0.60035306
1.0038722,-0.61799484,-0.9068669
0.12696882,-4.45295,0.3560449
0.055052426,0.62175673,2.1759343
-1.423558,0.35996807,1.1083055
-0.37462184,-0.41100395,-2.8124614
2.5348544,-1.1861014,0.63298434
2.69179,0.6145652,-1.9232253
-2.1189973,1.856454,-0.5514599
-2.769761,-0.06994242,2.803593
-2.5876057,-0.2866596,0.20774457
-5.38465,-0.95362616,1.1282135
-5.2178698,-0.42321807,0.45351228
-3.0985773,0.0133780185,1.4961509
-2.3437142,1.2067443,-0.61914605
-1.716694,0.37762314,-1.7358524
-2.4063532,2.8505125,0.10627358
-3.1817915,3.4907618,2.6313221
-2.093895,0.11664587,6.21987
-0.10068743,1.2963897,1.0792878
6.4583235,-0.30699682,-3.1489768
2.9656417,1.8815507,0.58011913
-0.3660459,2.875349,2.9607844
2.8706229,-2.2421243,2.6233273
0.54912335,0.8802691,2.4156067
6.389507,4.434946,2.9101238
7.200835,0.8149927,2.1941078
3.8127952,-2.8110487,-2.4076276
6.2335467,1.0326104,-2.0040307
2.402977,1.1509055,-3.277809
-0.60170484,-1.8376745,-5.58991
0.47002488,0.92705816,1.2790082
-1.0453365,-0.8535018,-0.34854588
-3.2843187,-3.867786,1.7137018
1.4378822,-3.2109008,3.140306
7.230052,-0.1342846,-3.2563841
5.867878,1.2483629,0.13466485
0.23040606,0.8721654,0.65153384
-5.3409896,-4.4222565,0.76416725
-3.1466184,-7.371543,0.78501934
0.040596448,-5.2057962,-2.6736708
-0.4668954,-5.0646873,-1.8866466
-0.9299408,0.24360201,0.278761
-5.2780514,-2.5236642,-0.9819592
-1.575893,-3.3512769,-1.8252203
2.337057,2.743476,2.073213
-4.4096227,-3.448963,-1.0746173
-3.986739,-3.563112,-11.788805
0.42425284,-0.9255753,-6.546144
3.936062,-3.2563262,2.864985
1.55018,-0.48440242,-3.0212083
0.7535008,-1.003041,1.3114673
3.7279935,-2.1390483,2.4794245
-1.006397,-0.93707705,-2.160436
0.071784645,3.9988387,1.9885808
1.224043,3.384083,-0.58987844
3.1403904,-0.088994324,4.671083
4.954172,6.0676003,2.4302192
-1.729983,0.5032852,-5.7859106
-2.5521615,-2.3287404,-1.4583317
-0.8451918,3.3221395,-1.2736341
-1.9000082,-3.5203245,1.0431437
-4.1692333,-2.4492717,3.7715404
-3.2685692,1.7089663,5.454405
-2.3830848,-0.3037528,2.4682488
-2.773891,-1.2347152,-2.6841013
1.7983056,-2.8358898,0.028661035
-0.9244263,0.1310921,1.6714488
0.36972216,-1.2727302,2.0169365
1.6082543,-0.49398667,3.894437
-5.902435,3.4782476,3.887645
-2.3724387,-0.06970894,0.9343834
0.16433689,0.42167455,3.1350214
-0.7808034,-0.36327517,-2.169333
-2.2215366,0.7431132,-7.183566
-3.5956488,2.7610526,-2.200217
1.7573279,-0.44292378,-0.16570367
1.7561673,2.3129156,1.8245487
-1.7396727,-2.344406,2.0015693
-2.4757,-4.4155,0.80012214
-1.6720105,3.3235612,-1.7302665
0.56344765,3.1738803,2.1213415
2.3969576,5.821696,0.0037371714
1.1377772,3.8945982,-1.6885648
-0.67521197,-1.3467098,1.5316513
2.1020517,2.0423763,-3.1157146
-0.33030456,5.312399,1.4289492
-2.2443,3.5269256,-0.19608632
-1.2860777,0.76759565,-0.59878427
-0.98982215,2.26124,2.5819523
1.5283406,-1.9419134,-2.278121
-5.423021,0.31749982,0.82074845
-3.3628113,-2.03259,-1.5980902
2.0800111,-5.789435,-1.9775541
-2.3360422,2.2716484,1.2618114
0.647903,-1.8736444,-2.5358489
-0.7833719,-0.4169887,-0.81625485
-1.6318508,0.122201994,-0.6986536
-0.44895384,-0.7412485,-1.637738
2.65307,-0.4332317,0.84803337
7.2045627,-0.9886508,0.11395443
1.2334319,4.472552,1.9894365
2.0103524,-3.1458602,3.947341
1.7497934,-0.3985546,-1.6588678
2.064941,2.709243,-0.7820284
5.1518693,-3.90482,3.052668
-1.3752687,-3.236802,0.2708195
1.5905337,-2.4214792,0.9847735
1.705211,-0.14147991,0.57466614
-2.9429111,-2.85369,-1.0063808
4.1815863,-0.3457733,0.8741502
2.8844008,2.619359,-0.2907659
-1.8553479,1.0848095,-0.5212379
0.51673645,1.265859,0.5825067
2.1560535,-0.6316983,-1.7587178
2.4713092,1.3579965,1.254838
0.331826,-2.0818264,1.1837679
0.6044908,-0.1754897,-3.1420152
1.9834987,1.6608988,-0.16686508
0.8058474,-4.638092,-1.6851994
1.2625268,1.2322887,-1.6555617
4.6647987,2.00965,2.7224877
3.6409187,0.12599316,-0.967129
-0.45608342,0.02357138,-0.4941573
-1.2451893,-3.237629,-1.8953325
-2.2627046,-0.77598923,-3.5377848
-0.7859137,-2.6697898,1.3177197
-1.451381,-1.403539,-1.6120224
-3.5046666,6.1798625,3.1392055
-1.0464904,4.2236814,5.2073355
0.749813,-0.8730985,0.4948815
-1.2011038,-0.8328022,1.7852936
-3.209141,-2.9537296,-1.5612261
-0.8440739,-1.4639381,-1.9243062
0.29029268,1.3151544,-0.48908722
-1.2802664,-2.0720985,0.94583994
-1.0439063,0.114516854,-1.3576635
1.3078176,-1.554387,-0.9622117
0.58973414,-5.3295007,3.9479291
1.5021855,0.93530816,-1.0334972
-0.5802167,2.163869,-2.1649485
-4.3077745,-0.51347303,-1.6991022
0.074710585,1.2504028,-1.1975064
3.0731435,2.5491352,-1.033432
3.1599412,-0.02069144,-1.9874995
4.9406066,0.6135389,4.4274745
6.3399415,1.2343576,4.224824
-0.06391474,1.346968,2.6768632
-1.4914862,2.1206503,2.6417701
-0.19965547,-1.0072728,-0.2391392
-2.8420851,4.736035,-0.10303637
-3.2401016,5.131949,2.878027
-5.0384192,0.620444,2.4229603
-0.3370214,4.1071596,-2.5418136
0.37985942,4.6351676,-0.25451434
0.2742223,4.3442206,0.23381391
2.897287,2.3457053,-0.42446318
3.0597694,2.139226,2.493205
4.1600404,3.560056,-1.9250184
0.48246825,2.8069484,-2.5317788
-1.5770855,1.1893293,-1.5896859
-0.9694369,-1.382912,-3.7108042
-2.0649939,-0.6798264,-2.6931336
-3.602703,1.2617708,-2.8971736
-0.7898426,-0.9455319,-4.705322
-0.5995948,-3.7088947,-5.3565636
-0.9287174,-0.9735488,-1.0629052
1.8588313,0.71156573,-2.2972066
-3.1497138,2.461777,-3.0724666
-3.2749412,1.1889446,-0.9945584
1.4211783,-3.3014774,-3.6417887
-0.7977426,-4.971197,0.03824039
-0.33803424,-7.3698764,-1.6432562
-1.9172827,-4.345178,-3.7971075
-4.124524,-0.66883117,3.814101
-2.8783364,-2.7902164,5.421163
-2.4766142,-1.3238057,1.4139601
0.04753947,4.367775,-0.26912144
-1.2781522,1.3662128,3.9482253
-2.785217,-0.5763579,3.6592412
1.7070678,2.406834,0.77768946
1.4517996,-1.2852478,1.78851
-3.400909,-3.0644393,-0.5538088
-0.12994994,0.77328736,3.1132634
1.4671663,2.4052472,3.3134277
-0.6020566,-2.0403278,0.0692314
-0.69091547,-4.065875,0.6169074
-2.8516457,-3.7431238,-5.243016
-1.193879,-2.7504594,-1.3874332
-0.92907274,-0.45541206,3.3575704
-2.5783188,-4.0017495,0.661337
-1.0801094,-1.5981565,4.547808
-0.10409482,3.0965016,3.4408383
2.5515373,0.6482626,2.524176
4.0091524,0.42262706,5.2508016
1.87102,0.6200959,2.0772722
2.090265,4.2310686,-1.9703195
3.3910818,4.19948,-4.098725
2.9702964,1.0072778,-0.09181196
5.1222243,1.2946701,1.7244831
2.5893822,-1.4403616,-1.3705121
-1.269162,0.9692024,0.5737886
1.2350461,2.7934132,0.25022665
-0.31121448,1.1268803,0.17017412
-1.1433678,0.43393797,-1.191754
-0.3490918,2.1575108,-2.0939562
0.647831,1.8054948,-1.0836216
3.9709487,-2.3989093,-0.16239922
-0.00419552,-1.2544434,4.1137238
-1.1566064,-0.1314037,-1.934273
3.000446,0.6522532,-4.0980196
-0.62920886,-0.5942389,0.42926687
-3.3634212,-1.578242,0.70579493
-2.0035474,0.8414636,2.0560613
-1.7727605,0.84470606,-0.5474656
-3.1959584,-0.8992438,-0.71764314
-2.801452,-0.65152276,-0.33012584
-0.94309115,1.653142,-0.7039959
-0.3426088,0.8680068,1.2796874
3.2730932,0.2581197,-1.5980716
1.728784,-0.9199344,-1.4629099
-1.7606393,-1.8657511,1.1915132
2.1532154,-0.99637777,0.9662134
2.8659723,0.08708503,0.9739241
1.1189231,2.5888498,0.8061561
2.0148811,0.79728,-1.5197867
1.2256557,-2.3527362,-5.5067034
0.62901884,-2.559031,-4.832847
3.9671695,0.9581826,-2.8221376
4.686703,-3.30531,1.0134872
0.3288779,-7.8492346,2.836115
-1.2631314,-0.79808474,-3.3414607
-1.7170826,-0.6471589,2.0260253
-2.9234333,-3.200417,5.4984856
-1.1149325,0.42566827,-2.2977974
0.35691744,2.310527,-0.60216814
-1.3978407,0.14619479,-0.42633525
-1.868813,1.3097394,0.8219921
-0.5348744,0.71751934,4.2131033
-3.5449338,-0.03226285,0.79259264
