ax,ay,az
0.0,0.0,0.0
0.005035439,0.0024033538,0.0041793385
0.009946501,0.0080298325,0.0025405525
0.016181763,0.029183451,-0.019816378
0.03628105,0.080267265,-0.04822357
0.091969684,0.09945191,-0.04765785
0.103250444,0.13894658,-0.016032744
0.14575039,0.22595936,0.034446433
0.1206289,0.1300719,0.09132836
0.026062096,0.039458983,0.08366374
0.09363171,0.10472306,0.058841057
0.040882852,-0.09604847,0.047493167
-0.04340976,0.03730547,0.1466154
-0.028465107,0.31899965,0.56860834
0.028851455,-0.115633115,0.88977367
-0.22304823,-0.24919662,0.5875997
0.08235132,0.039745647,0.283878
-0.16287711,-0.19564384,-0.17459832
-1.0622355,-0.22487256,-0.34497383
-0.27892894,-0.33271727,0.0013348304
-0.44649747,-0.9691605,-0.053930897
-0.7314866,-0.31542787,0.23132162
-0.0081318375,-0.70363265,-0.14276849
-0.15221877,-1.3546548,-1.3030345
0.021292735,-1.046647,-1.7483529
0.41037133,-1.3562701,-1.9794639
1.1227301,-0.83985335,-1.8846338
2.0550873,-1.329611,-0.29490393
0.9671583,-1.2885467,0.4607845
0.18268305,-0.088250145,-0.069489434
0.85077924,-0.42155722,-0.52058583
-0.18698682,0.80214286,-1.5187978
0.35884836,1.9443945,-0.33210838
1.8617185,-0.19048493,0.86423445
1.8857344,1.0246813,-0.20051596
2.0504448,1.4747726,-1.8181328
2.2196827,-1.3887451,-3.340619
1.9353089,-0.4666176,-3.3875434
2.4841619,-1.3872049,-2.1579657
1.6019716,-2.8285916,-1.9822189
1.0544744,-0.46836212,-1.4398623
2.1339657,1.0959381,0.21086784
1.1319518,-0.634339,0.09434939
1.2071201,-0.19446635,-0.5182082
2.4851027,2.349777,-1.2013872
0.55854195,-1.4823478,-4.2532783
-2.1078837,2.7587357,-2.5386798
-1.3081588,2.0786955,0.83187383
-2.1883252,-3.203585,-1.1049796
-4.1920514,4.4535127,-1.5346268
-5.6387644,2.004201,-2.4309967
-3.520632,1.7020185,-2.1649857
-3.165368,3.214748,-0.7403841
-1.5783995,2.220195,2.684795
1.605815,-1.9593345,1.7472963
-1.9306979,-3.9600744,-0.018968645
-2.352925,-4.2466083,4.4248347
-5.7471833,-12.226898,6.166642
-6.786711,-6.4344816,7.7804327
-4.4706025,-5.4501915,5.5304036
-8.257869,-8.041416,2.8580751
-9.343111,-4.6372104,1.1482337
-8.134026,-0.8077544,3.14386
-11.396249,0.08154384,3.2056186
-10.955821,3.0316882,-0.96649826
-7.4240384,3.8165143,-3.0339909
-8.526452,-7.567732,-5.915852
-12.691359,-8.560079,-6.3207774
